Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A
N1,23/11/2024,17:45,Feyenoord,Heerenveen,3.0,0.0,H,2.0,0.0,H,24.0,7.0,7.0,3.0,7.0,3.0,4.0,14.0,0.0,2.0,0.0,0.0,1.27,5.5,11.0
N1,23/11/2024,17:45,Heracles,Waalwijk,2.0,2.0,D,1.0,0.0,H,18.0,15.0,5.0,6.0,9.0,5.0,8.0,14.0,1.0,0.0,0.0,0.0,1.8,3.8,4.2
N1,23/11/2024,20:00,For Sittard,Twente,1.0,2.0,A,0.0,1.0,A,8.0,11.0,1.0,3.0,3.0,1.0,8.0,10.0,1.0,2.0,0.0,0.0,4.75,3.5,1.8
N1,23/11/2024,20:00,PSV Eindhoven,Groningen,5.0,0.0,H,2.0,0.0,H,26.0,4.0,10.0,2.0,14.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1.14,8.5,15.0
N1,24/11/2024,11:15,Nijmegen,Utrecht,1.0,2.0,A,0.0,1.0,A,19.0,10.0,6.0,6.0,8.0,5.0,9.0,11.0,0.0,1.0,0.0,0.0,2.63,3.25,2.7
N1,24/11/2024,13:30,Sparta Rotterdam,AZ Alkmaar,1.0,2.0,A,1.0,1.0,D,13.0,5.0,4.0,2.0,5.0,2.0,11.0,12.0,3.0,3.0,0.0,0.0,3.6,3.4,2.05
N1,24/11/2024,13:30,Willem II,NAC Breda,2.0,2.0,D,0.0,1.0,A,14.0,10.0,4.0,3.0,8.0,0.0,7.0,6.0,4.0,2.0,0.0,0.0,2.05,3.4,3.6
N1,24/11/2024,15:45,Ajax,Zwolle,2.0,0.0,H,1.0,0.0,H,5.0,13.0,2.0,6.0,7.0,0.0,15.0,12.0,3.0,1.0,0.0,0.0,1.17,7.0,17.0
N1,29/11/2024,19:00,Heerenveen,Waalwijk,1.0,1.0,D,1.0,0.0,H,13.0,12.0,4.0,1.0,3.0,3.0,14.0,8.0,0.0,0.0,0.0,0.0,1.7,3.9,4.75
N1,30/11/2024,15:30,NAC Breda,Almere City,1.0,0.0,H,1.0,0.0,H,10.0,10.0,4.0,3.0,5.0,4.0,8.0,12.0,1.0,1.0,0.0,0.0,1.95,3.4,3.9
N1,30/11/2024,17:45,Groningen,Willem II,2.0,0.0,H,1.0,0.0,H,14.0,6.0,7.0,1.0,3.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,2.2,3.25,3.4
N1,30/11/2024,19:00,Feyenoord,For Sittard,1.0,1.0,D,0.0,1.0,A,23.0,8.0,10.0,3.0,9.0,1.0,11.0,13.0,2.0,2.0,0.0,0.0,1.25,6.5,9.5
N1,30/11/2024,20:00,Zwolle,Sparta Rotterdam,1.0,0.0,H,0.0,0.0,D,10.0,13.0,3.0,2.0,3.0,7.0,8.0,16.0,3.0,1.0,0.0,0.0,2.8,3.5,2.38
N1,01/12/2024,11:15,Utrecht,PSV Eindhoven,2.0,5.0,A,1.0,1.0,D,10.0,13.0,3.0,8.0,4.0,6.0,9.0,11.0,2.0,4.0,0.0,0.0,6.5,4.33,1.5
N1,01/12/2024,13:30,AZ Alkmaar,Heracles,1.0,0.0,H,0.0,0.0,D,20.0,7.0,5.0,2.0,8.0,1.0,8.0,16.0,0.0,3.0,0.0,0.0,1.33,5.25,8.5
N1,01/12/2024,13:30,Twente,Go Ahead Eagles,3.0,2.0,H,1.0,2.0,A,26.0,9.0,8.0,4.0,12.0,0.0,8.0,6.0,1.0,2.0,0.0,0.0,1.57,4.5,5.25
N1,01/12/2024,15:45,Nijmegen,Ajax,1.0,2.0,A,1.0,1.0,D,21.0,8.0,8.0,6.0,7.0,1.0,13.0,21.0,1.0,5.0,0.0,0.0,4.33,4.0,1.7
