season,date,home_team,away_team,home_score,away_score,match_result,match_result_numeric,home_elo,away_elo,home_form_score,away_form_score,home_goal_difference,away_goal_difference,h2h_home_wins,h2h_away_wins,h2h_draws,h2h_goal_diff,last10_h2h_home_wins,last10_h2h_away_wins,last10_h2h_draws,last100_h2h_goal_diff,last10_h2h_goal_diff,home_team_home_win_pct,away_team_away_win_pct,elo_difference
1956-1957,1956-12-02,MVV,BVC Amsterdam,2,0,home_win,1,1037.7141067506666,965.0974513032363,14.399999999999999,4.4,6,-4,0,0,0,0,0,0,0,0,0.0,0.8,0.2,72.61665544743028
1956-1957,1956-12-09,Roda JC,MVV,1,1,draw,0,1001.7700634936122,1050.4178451083253,13.2,12.8,6,5,0,0,0,0,0,0,0,0,0.0,1.0,0.4,-48.64778161471315
1956-1957,1956-12-09,Willem II,Sparta Rotterdam,0,0,draw,0,917.4968329936083,988.2518925363402,0.0,13.799999999999999,-10,4,0,0,0,0,0,0,0,0,0.0,0.0,0.4,-70.75505954273183
1956-1957,1956-12-09,SC Enschede,NOAD,1,1,draw,0,1087.5093452573362,1013.2658629070345,21.6,11.2,13,-1,0,0,0,0,0,0,0,0,0.0,0.75,0.25,74.24348235030175
1956-1957,1956-12-09,PSV,Ajax,2,3,away_win,-1,1001.0900312500512,1044.6562485602249,12.0,8.4,5,-1,0,0,0,0,0,0,0,0,0.0,0.2,0.5,-43.56621731017367
1956-1957,1956-12-09,Elinkwijk,Eindhoven,5,2,home_win,1,946.263476913844,921.3349012077646,3.0,3.0,-4,-11,0,0,0,0,0,0,0,0,0.0,0.0,0.2,24.928575706079414
1956-1957,1956-12-09,Feyenoord,GVAV,2,1,home_win,1,1055.612808051607,967.2860284160747,10.4,6.199999999999999,4,-1,0,0,0,0,0,0,0,0,0.0,0.8,0.0,88.32677963553238
1956-1957,1956-12-09,BVV Den Bosch,NAC Breda,8,0,home_win,1,942.2001523091197,1049.367469920713,4.6,14.399999999999999,-7,-1,0,0,0,0,0,0,0,0,0.0,0.25,0.2,-107.16731761159315
1956-1957,1956-12-09,BVC Amsterdam,VVV-Venlo,4,1,home_win,1,952.3937129455776,1023.3551271458471,2.8,12.6,-6,2,0,0,0,0,0,0,0,0,0.0,0.25,0.6,-70.96141420026947
1956-1957,1956-12-09,Fortuna Sittard,DOS,4,1,home_win,1,1039.942731514047,997.7854694688721,13.8,15.0,0,2,0,0,0,0,0,0,0,0,0.0,0.8,0.75,42.15726204517489
1956-1957,1956-12-16,Sparta Rotterdam,BVV Den Bosch,3,3,draw,0,985.0378118817497,962.9846078981958,10.0,8.399999999999999,-2,4,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.16666666666666666,22.053203983553885
1956-1957,1956-12-16,Roda JC,BVC Amsterdam,2,2,draw,0,1003.9958497357638,971.6169120224514,9.4,6.4,4,-1,0,0,0,0,0,0,0,0,0.0,0.8,0.16666666666666666,32.37893771331244
1956-1957,1956-12-16,NOAD,PSV,2,3,away_win,-1,1016.6337933067364,987.0858800281109,14.4,14.4,2,8,0,0,0,0,0,0,0,0,0.0,0.5,0.6666666666666666,29.547913278625515
1956-1957,1956-12-16,NAC Breda,SC Enschede,1,1,draw,0,1028.5830143316368,1084.1414148576343,9.8,19.6,-10,10,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.8,-55.55840052599751
1956-1957,1956-12-16,MVV,Elinkwijk,2,0,home_win,1,1048.1920588661735,961.1174395384479,16.4,6.6,6,0,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.5,87.0746193277256
1956-1957,1956-12-16,Eindhoven,Feyenoord,0,1,away_win,-1,906.4809385831607,1067.6306319003318,3.6,15.6,-8,9,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,-161.1496933171711
